import time: self [us] | cumulative | imported package
import time:      1752 |       1752 |           thinc.layers.tensorflowwrapper
import time:       208 |        208 |           thinc.layers.torchscriptwrapper
import time:       291 |        291 |           thinc.layers.tuplify
import time:       205 |        205 |           thinc.layers.uniqued
import time:       227 |        227 |           thinc.layers.with_array
import time:       272 |        272 |           thinc.layers.with_array2d
import time:       112 |        112 |           thinc.layers.with_cpu
import time:       123 |        123 |           thinc.layers.with_debug
import time:       231 |        231 |           thinc.layers.with_flatten
import time:       293 |        293 |           thinc.layers.with_flatten_v2
import time:       181 |        181 |           thinc.layers.with_getitem
import time:       183 |        183 |           thinc.layers.with_list
import time:       131 |        131 |           thinc.layers.with_nvtx_range
import time:       385 |        385 |           thinc.layers.with_padded
import time:       555 |        555 |           thinc.layers.with_ragged
import time:       262 |        262 |           thinc.layers.with_reshape
import time:       155 |        155 |           thinc.layers.with_signpost_interval
import time:      1366 |      31757 |         thinc.layers
import time:       484 |        484 |         thinc.loss
import time:       169 |        169 |         thinc.schedules
import time:       415 |      72779 |       thinc.api
import time:       257 |     363883 |     spacy.compat
import time:       662 |     364545 |   spacy.errors
import time:       487 |        487 |         shlex
import time:       415 |        415 |                       packaging._elffile
import time:       359 |        774 |                     packaging._manylinux
import time:       315 |        315 |                     packaging._musllinux
import time:       421 |       1509 |                   packaging.tags
import time:       626 |       2134 |                 packaging.utils
import time:      2050 |       4184 |               packaging.specifiers
import time:      2418 |       6601 |             packaging._tokenizer
import time:       510 |       7111 |           packaging._parser
import time:      1371 |       1371 |           packaging.markers
import time:       255 |       8736 |         packaging.requirements
import time:        92 |         92 |           cupy
import time:        12 |        103 |         cupy.random
import time:      1942 |       1942 |         spacy.about
import time:      7077 |       7077 |         spacy.symbols
import time:      1826 |      20168 |       spacy.util
import time:       520 |        520 |         timeit
import time:       364 |        364 |         spacy.ty
import time:       225 |        225 |         spacy.git_info
import time:       330 |        330 |           spacy.lang
import time:       363 |        363 |           spacy.lang.char_classes
import time:       698 |       1389 |         spacy.lang.punctuation
import time:      7906 |       7906 |         spacy.lang.tokenizer_exceptions
import time:        53 |         53 |             preshed.math
import time:        17 |         17 |             preshed.array
import time:        13 |         13 |             preshed.copy_reg
import time:        66 |         66 |             copy_reg
import time:        14 |         14 |             preshed.copyreg
import time:      2197 |       2357 |           preshed.bloom
import time:        45 |         45 |             spacy.contextlib
import time:        16 |         16 |             spacy.typing
import time:        12 |         12 |             spacy.srsly
import time:      1922 |       1993 |           spacy.strings
import time:       456 |       4806 |         spacy.lookups
import time:      1947 |       1947 |               spacy.attrs
import time:        34 |         34 |                   spacy.warnings
import time:        15 |         15 |                   spacy.numpy
import time:      1965 |       1965 |                   spacy.parts_of_speech
import time:      1698 |       3711 |                 spacy.morphology
import time:        58 |         58 |                   spacy.warnings
import time:        15 |         15 |                   spacy.numpy
import time:        11 |         11 |                     spacy.thinc
import time:        10 |         21 |                   spacy.thinc.api
import time:      2326 |       2419 |                 spacy.lexeme
import time:      1885 |       1885 |                       spacy.tokens.morphanalysis
import time:        37 |         37 |                       spacy.tokens.warnings
